id,published at,channel Id,channelTitle,title,description,tags,thumbnailUrl,category Id,view count,like count,comment count,duration,caption,channelLabel
_fjLVnRye3Y,2025-07-06T07:24:09Z,UC8XBizOfQBLUrUcv_9DHCog,THE PAGE（ザ・ページ）,鹿児島・十島村で震度5強を2回観測　気象庁が会見（2025年7月6日）,"映像提供：気象庁
2日午後2時1分と午後2時7分ごろ、鹿児島県・トカラ列島近海を震源とする地震があり、鹿児島県十島村で震度5強の強い揺れを2回観測した。気象庁によると、震源の深さは約20km、地震の規模（マグニチュード）は4.8と5.1と推定されている。同庁は、午後4時10分から記者会見を行い、先月21日から続くトカラ列島近海の地震活動について説明する。

※中継内容等は予告なく変更になる場合がございます。予めご了承ください。

■チャンネル登録：https://yahoo.jp/zaoidV
■THE PAGEの記事一覧：https://yahoo.jp/A5sxYP
■Yahoo!ニュース オリジナル：https://yahoo.jp/7a5omo

#thepage_jp
#記者会見
#気象庁","['ニュース', 'UC8XBizOfQBLUrUcv_9DHCog', 'THE PAGE（ザ・ページ）', '気になるニュースをわかりやすく', 'ヤフー', 'Yahoo!']",https://i.ytimg.com/vi/_fjLVnRye3Y/hqdefault.jpg,25,1330,25,0,PT12M16S,false,THE PAGE
O-8rR6CNAPc,2025-07-06T11:00:39Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,【参院選2025】立憲民主党の政策や戦略は？参院選でも与党過半数割れへ！？長妻代表代行に直撃！【長妻昭-立憲民主党・代表代行】|選挙ドットコム,"今回は立憲民主党・長妻代表代行に参院選の戦略を伺います！

衆議院と同様に参議院も与党が過半数割れするかどうか注目される、今回の参議院議員選挙。野党第一党の立憲民主党はどんな戦略で政権交代に近づく？イチオシの政策や議席目標は？

ぜひ、最後までご覧のください！

※選挙ドットコムでは、国政政党と比例代表に候補者を擁立するすべての団体にインタビュー企画を依頼しております
※その際には、党本部ツアーと聖地ツアーを任意でお願いしております
※撮影順に順次各党や団体の動画を公開いたします


◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない

＜ゲスト＞

＜ゲスト＞
長妻 昭｜立憲民主党・代表代行、衆議院議員
1960年、東京生まれ。慶応大学法学部卒業。日本電気株式会社、日経BP社を経て2000年6月、衆議院議員初当選。現在9期目。年金記録問題で政府を鋭く追及し、政権交代に貢献した。鳩山内閣、菅内閣で厚生労働大臣を務め、「脱官僚」を目指した。2024年に代表代行に就任。

＜MC＞
伊藤 由佳莉｜選挙ドットコム編集部
1987年神奈川県生まれ。早稲田大学文化構想学部卒業。前職の専門紙記者時代に東京都内の地方選挙、地方議会を取材。2022年に選挙ドットコム編集部に加入し、主にコラム企画を担当。特技は空手道（4段）


◆政治家・候補者限定 LINE公式アカウント◆
ネット選挙・公選法・情勢調査など情報配信中！下記からご登録ください！
https://lin.ee/us3KFGF

◆視聴者アンケート実施中◆
https://forms.gle/h8xZnLgryPn5F8BE8

#おすすめ #日本 #政治 #選挙 #参院選2025 #立憲民主党 #立憲 #長妻昭 #戦略 #政策 #解説 #選挙ドットコム
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––

＼政治家の皆様を強力サポート／
選挙ドットコムが提供する
ネット選挙必勝ツール ｢ボネクタ｣
https://vonnector.jp/vonnector/
首長･現職ベテラン議員にもご愛用者多数！
国政･地方選挙で日本最大級の実績｡

ネット広告で有権者からの知名度が上がる！
｢選挙区ターゲティング広告｣
https://vonnector.jp/targeting/
×
選挙ドットコムがあなたをインタビューして有権者にPR
｢政治家PR記事｣
https://vonnector.jp/pr/

選挙区ターゲティング広告×政治家PR記事の最強コンビがネット選挙の勝利の方程式です！

選挙ドットコムは、全ての政党、全ての政治家、全ての立候補者を全力で応援し、有権者がもっと政治に参加したくなるよう努めています。ぜひご協力ください。

選挙ドットコム：https://go2senkyo.com/
日本最大級の選挙ポータルサイト「選挙ドットコム」衆参議員の国会議員から、都道府県知事、市区町村長、地方議会議員のすべての選挙情報を掲載。また、政治家自身が発信している政策やプロフィールもあり政治家選びに最適です。

facebook：https://www.facebook.com/thesenkyo/
X：https://x.com/go2senkyo","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/O-8rR6CNAPc/hqdefault.jpg,25,2074,44,18,PT42M58S,false,選挙ドットコムチャンネル
Mr0AdLePqg4,2025-07-06T08:00:28Z,UCpdtHm6VFP_Qc-IDIsyLh1A,選挙ドットコムちゃんねる,【参院選2025】維新党本部の内部に潜入！吉村洋文代表の「参院選戦略」に迫る！【吉村洋文-日本維新の会・代表】|選挙ドットコム,"今回は日本維新の会・吉村洋文代表に参院選の戦略を伺いに、大阪にある党本部にお邪魔しました！

日本維新の会の歴史とともに、大熱戦が繰り広げられている参院選における日本維新の会の戦略をじっくり教えていただきました。
イチオシの政策や議席目標は？

ぜひ、最後までご覧のください！

※選挙ドットコムでは、国政政党と比例代表に候補者を擁立するすべての団体にインタビュー企画を依頼しております
※その際には、党本部ツアーと聖地ツアーを任意でお願いしております
※撮影順に順次各党や団体の動画を公開いたします


◆切り抜きやまとめ動画、大歓迎です！◆
選挙ドットコムの動画は自由に切り抜きやまとめ動画としてご活用ください！ただし、以下の点だけ守っていただけると幸いです。
・動画の内容を意図的に改変しない
・事実の基づく情報発信
・人格などを傷つける表現を加えない

＜ゲスト＞
吉村 洋文｜日本維新の会・代表、大阪府知事
1975年大阪府河内長野市生まれ。大阪府知事。九州大学法学部卒業、2000年弁護士登録。11年大阪市議会議員、14年衆議院議員、15年大阪市長を経て、19年現職。大阪維新の会・代表

＜MC＞
伊藤 由佳莉｜選挙ドットコム編集部
1987年神奈川県生まれ。早稲田大学文化構想学部卒業。前職の専門紙記者時代に東京都内の地方選挙、地方議会を取材。2022年に選挙ドットコム編集部に加入し、主にコラム企画を担当。特技は空手道（4段）


◆政治家・候補者限定 LINE公式アカウント◆
ネット選挙・公選法・情勢調査など情報配信中！下記からご登録ください！
https://lin.ee/us3KFGF

◆視聴者アンケート実施中◆
https://forms.gle/h8xZnLgryPn5F8BE8

#おすすめ #日本 #政治 #選挙 #参院選2025 #日本維新の会 #維新の会 #維新 #吉村洋文 #選挙ドットコム
–––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––––

＼政治家の皆様を強力サポート／
選挙ドットコムが提供する
ネット選挙必勝ツール ｢ボネクタ｣
https://vonnector.jp/vonnector/
首長･現職ベテラン議員にもご愛用者多数！
国政･地方選挙で日本最大級の実績｡

ネット広告で有権者からの知名度が上がる！
｢選挙区ターゲティング広告｣
https://vonnector.jp/targeting/
×
選挙ドットコムがあなたをインタビューして有権者にPR
｢政治家PR記事｣
https://vonnector.jp/pr/

選挙区ターゲティング広告×政治家PR記事の最強コンビがネット選挙の勝利の方程式です！

選挙ドットコムは、全ての政党、全ての政治家、全ての立候補者を全力で応援し、有権者がもっと政治に参加したくなるよう努めています。ぜひご協力ください。

選挙ドットコム：https://go2senkyo.com/
日本最大級の選挙ポータルサイト「選挙ドットコム」衆参議員の国会議員から、都道府県知事、市区町村長、地方議会議員のすべての選挙情報を掲載。また、政治家自身が発信している政策やプロフィールもあり政治家選びに最適です。

facebook：https://www.facebook.com/thesenkyo/
X：https://x.com/go2senkyo","['選挙', '政治', '投票', '選挙ドットコム', '解説', 'ゆっくり']",https://i.ytimg.com/vi/Mr0AdLePqg4/hqdefault.jpg,25,6048,368,93,PT33M14S,false,選挙ドットコムチャンネル
_3F8vzQC9UA,2025-07-06T11:26:41Z,UC28hcmMG3TJv60Byo528VVg,ニコニコニュース,【参院選2025】ネット党首討論　主催：ニコニコ,"▼コメント投稿/広告なし視聴はニコニコへ
https://live.nicovideo.jp/watch/lv348034260

「ネット党首討論」では、各党党首による討論をはじめ、
ユーザーから寄せられた質問に対し、直接お答えいただくなど、
インターネットを通じた情報発信を行います。

各党党首に対しての質問や討論テーマをユーザーの皆様から募集します。
応募はこちら➡ https://form.nicovideo.jp/forms/sansinsen2025

■登壇者一覧（予定）
石破茂　　　自由民主党 総裁
野田佳彦　　立憲民主党 代表
斉藤鉄夫　　公明党 代表
吉村洋文　　日本維新の会 代表
田村智子　　日本共産党 委員長
玉木雄一郎　国民民主党 代表
山本太郎　　れいわ新選組 代表
神谷宗幣　　参政党 代表
福島瑞穂　　社会民主党 党首
百田尚樹　　日本保守党 代表

司会：川邊健太郎　N高グループ 政治部顧問
進行：馬場典子　　フリーアナウンサー

◆インターネット選挙運動の解禁に関する情報（総務省）
　https://www.soumu.go.jp/senkyo/senkyo_s/naruhodo/naruhodo10.html
◆公職選挙法に基づく情報発信者に関する問い合わせ先
　netsenkyo@dwango.co.jp

■ニコニコニュース𝕏
https://twitter.com/nico_nico_news

■■■「ニコニコニュース」二次創作ガイドラインに関するお知らせ■■■
「ニコニコニュース」は、視聴者やファンの皆さまによる二次創作を応援しております。
そこで、皆さまが安心して二次創作を行っていただけるよう、このガイドラインを公開します。
「ニコニコニュース」で配信した映像は一部を除き個人で自由に使用いただいて結構です。
以下ガイドラインを参照のうえご利用ください。
https://www.youtube.com/post/Ugkx-yF_H8McykFzBM_bT1a_ibYUtxHrfqNR

#党首討論 #ネット党首討論 #参院選2025 #ニコニコニュース #報道 #選挙 #ライブ配信 #参院選  #参議院議員選挙 #参議院議員選挙2025 #石破茂 #自民党 #自由民主党 #野田佳彦 #立憲民主党 #吉村洋文  #日本維新の会 #斉藤鉄夫 #公明党 #田村智子 #共産党 #日本共産党 #玉木雄一郎 #国民民主党 #山本太郎 #れいわ新選組 #福島瑞穂 #福島みずほ #社民党 #社会民主党 #神谷宗幣 #参政党 #百田尚樹 #日本保守党 #川邊健太郎 #N高 #S高 #馬場典子","['ニコニコニュース', 'ライブ', '中継', 'ニコ生', 'ニコニコ', 'ニコ動', 'ライブ配信', 'ニュース', '報道', 'ニコニコ動画', 'ニコニコ生放送', 'ニコニコニュース生放送', '須藤元気', '参院選', '参院選2025', '参議院議員選挙', '参議院議員選挙2025', '選挙', '記者会見', '党首討論', 'ネット党首討論', '党首', '討論', '石破茂', '自民党', '自由民主党', '野田佳彦', '立憲民主党', '吉村洋文', '日本維新の会', '斉藤鉄夫', '公明党', '田村智子', '共産党', '日本共産党', '玉木雄一郎', '国民民主党', '山本太郎', 'れいわ新選組', '福島瑞穂', '福島みずほ', '社民党', '社会民主党', '神谷宗幣', '参政党', '百田尚樹', '日本保守党', '川邊健太郎', 'N高', 'S高', 'LINEヤフー']",https://i.ytimg.com/vi/_3F8vzQC9UA/hqdefault.jpg,25,514441,11209,1975,PT1H16M16S,false,Niconico News
RKP1MuPGcP4,2025-07-06T07:28:35Z,UC28hcmMG3TJv60Byo528VVg,ニコニコニュース,【LIVE】気象庁が緊急会見　鹿児島 悪石島で震度5強が2回｜トカラ列島近海で発生した地震について（2025年7月6日）,"▼ライブ配信中のコメントはニコニコへ
https://live.nicovideo.jp/watch/lv348174232

7月6日14時01分頃、鹿児島県で最大震度5強を観測する地震が発生しました。震源地はトカラ列島近海(北緯29.3度、東経129.5度)で、震源の深さは約20km、地震の規模(マグニチュード)は4.8と推定されます。この地震による津波の心配はありません。

7月6日14時07分頃、鹿児島県で最大震度5強を観測する地震が発生しました。震源地はトカラ列島近海(北緯29.4度、東経129.5度)で、震源の深さは約20km、地震の規模(マグニチュード)は5.4と推定されます。この地震による津波の心配はありません。

気象庁による会見の模様を生中継でお届けいたします。
説明者：地震火山部地震津波監視課長　海老田 綾貴
映像：気象庁/JMA

■ニコニコニュース𝕏
https://twitter.com/nico_nico_news

■■■「ニコニコニュース」二次創作ガイドラインに関するお知らせ■■■
「ニコニコニュース」は、視聴者やファンの皆さまによる二次創作を応援しております。
そこで、皆さまが安心して二次創作を行っていただけるよう、このガイドラインを公開します。
http://youtube.com/post/Ugkx-yF_H8McykFzBM_bT1a_ibYUtxHrfqNR?si=gYFTJaeAkiazW77g

#気象庁 #地震 #鹿児島県 #悪石島 #十島村 #トカラ列島 #鬼界カルデラ #ニコニコニュース #報道 #ライブ配信 #記者会見 #緊急記者会見","['ニコニコニュース', 'ライブ', '中継', 'ニコ生', 'ニコニコ', 'ニコ動', 'ライブ配信', 'ニュース', '報道', 'ニコニコ動画', 'ニコニコ生放送', '記者会見', '生中継', '気象庁', '地震', 'トカラ列島', '鹿児島県', '十島村', '悪石島', '津波', '予言', '7月5日', '日本滅亡', '地球滅亡', '世界滅亡', 'トカラの法則', '鬼界カルデラ', '緊急記者会見']",https://i.ytimg.com/vi/RKP1MuPGcP4/hqdefault.jpg,25,14964,102,1,PT12M31S,false,Niconico News
MzirDA0qtXY,2025-07-05T22:00:32Z,UCfTnJmRQP79C4y_BMF_XrlA,NewsPicks /ニューズピックス,【アレン様】本当の恋愛にお金は絡まない   #アレン様,"賛否両論な話題に""白黒つける""経済ニュースバラエティ「IN MY OPINION presents Black or White」

今回は、“性で稼ぐ”男女ビジネスのリアルに斬り込みます。
地下アイドルの恋愛営業、ホストの搾取構造、噂のドバイ案件まで…。
「カラダを武器にする若者」が直面する現実とは？

＜出演者＞
・アレン様
・森本晋太郎（トンツカタン）
・岸谷蘭丸
・小原ブラス
・榎原依那
・鈴木涼美

▼過去回の視聴はこちらから🎥
https://www.youtube.com/playlist?list=PLDxonNcxMgrvoW0Dnj2N5Gm0QzC7rNoTd

▼Pontaポイントプレゼントキャンペーンはこちら
https://camp.auone.jp/campaign/641087a7453452a0f10d0b15


supported by au


#newspicks  #inmyopinion  #アレン様 #トンツカタン #森本晋太郎 #岸谷蘭丸 #小原ブラス #榎原依那 #鈴木涼美 #ホスト #歌舞伎町 #風営法","['NewsPicks', 'ニューズピックス', 'ニュースピックス']",https://i.ytimg.com/vi/MzirDA0qtXY/hqdefault.jpg,25,22283,213,7,PT57S,false,NewsPicks /ニューズピックス
LuhENh6hucM,2025-07-06T11:00:36Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,目の寿命は60年／むき出しの臓器「目」に有害な習慣／100歳まで見える目を保つ方法／老眼は20歳から／スマホ、コンタクトは目をダメにする／黒いサングラスは危険／レーシック済みハセンの恐怖【健康新常識】,"▼PIVOTアプリなら、バックグラウンド再生、ダウンロード機能、音声モード再生が無料。
視聴ごとにマイルが貯まり、Amazonギフト券などの特典と交換できます。
アプリダウンロードはこちら↓（無料）
https://4x9f.adj.st/episode_id=13084?adj_t=1qlqf9e7

▼ アプリ・Webで見るならこちら
https://pivotmedia.co.jp/app/movie/13084

▼チャンネル登録&高評価お願いします▼
https://youtube.com/c/PIVOT公式チャンネル

▼「健康新常識」目の寿命を延ばせ　100歳まで見える目を保つ方法
前編：目に有害な悪習慣　目の寿命は60～70年
https://youtu.be/9-LFOaINBYE
後編：7月13日（日）20時公開

＜出演＞
深作秀春　眼科外科医／医学博士／深作眼科 総院長 
https://www.fukasaku.jp/
三田友梨佳　フリーアナウンサー
国山ハセン　PIVOT MC

＜参考書籍＞
深作秀春『100年視力』
https://amzn.to/4kHL6uR
深作秀春『世界最高医が教える 目がよくなる32の方法』
https://amzn.to/3TrmA5Y

＜目次＞
00:00　ダイジェスト
01:25　収録前の一コマ
01:46　オープニング
02:33　講師：深作秀春（眼科外科医／医学博士）
03:21　画家でもある眼科専門医
03:46　テーマ「目の寿命を延ばせ」
04:01　目はむき出しの臓器
04:50　目の寿命は60～70年
06:28　目を大切にする意識が低い
07:13　目を洗ってはいけない
08:08　目を守るためにしてはいけないこと
08:32　目のこすりすぎが網膜剥離を招く
10:40　網膜剥離 最初のピークは10代
10:59　眼トレ禁止
12:24　目の専門医が診る「ハセンの目」
12:42　レーシック開発者がハセンを診断
13:19　屈折の異常による視力低下
13:56　6～12歳の過ごし方で近視が決まる
14:26　小学生は毎日 太陽光を浴びよう
15:23　目を光にさらしてはいけない
16:10　スマホは目をダメにする
17:04　子どものスマホ使用時間は？
18:29　ブルーライトは目に有害？
19:27　サングラスの選び方
21:19　コンタクトレンズは目をダメにする
22:19　「100歳まで見える目」を保つ知識を持て
23:33　20歳を過ぎると老眼が始まる
25:52　日本人に多い目の病気
26:25　白内障によって生じたモネの絵画の変化
27:18　色の見え方が変わる白内障
28:34　目の老化は体の老化よりも早い
29:16　レーシック手術をしたハセンの目はどうなる？
30:38　次回予告

▼「健康新常識」とは
健康に関するこれまでの常識を疑い、健康業界のトップランナーが新たな角度から導き出した「新常識」を紹介する。

▼「健康新常識」再生リスト
https://studio.youtube.com/playlist/PL-edxQ__zW_VCHIE61msUimo6whcqmILz/videos?c=UC8yHePe_RgUBE-waRWy6olw

＜オススメ動画＞
▼「健康新常識」20代の健康な「肝臓」を取り戻す方法
前編：肝臓を壊す最大の毒　3人に1人が脂肪肝
https://youtu.be/6Sqfr2us9ts
後編：お酒を一生楽しむための肝臓に優しい飲み方
https://youtu.be/EG1cpG0XL3Q

▼「健康新常識」脳科学者が警鐘「スマホに壊される脳」
前編：スマホ習慣は脳の発達に悪影響
https://youtu.be/31HumYh9uC0
後編：脳のピークは30歳　日常生活で脳を鍛える方法
https://youtu.be/0udfkuaJRRw

▼「健康新常識」岡田 隆が教える「美しく健康になるメソッド」
前編：美しく健康になる「食事」「食べ方」
https://youtu.be/SGwCDmUzrWc
後編：美しく健康になる「睡眠」「トレーニング」
https://youtu.be/VprY1B-Viu0

▼「健康新常識」林 英恵　Down to Earth 代表
前編：https://youtu.be/Gi0Pw0suD6M
後編：https://youtu.be/m7BMM4_-U2U

▼「ランキング超分析」クレジットカード
前編：https://youtu.be/AchfGQ9VZ5Q
後編：https://youtu.be/1EYW9FFkQLU

▼「ランキング超分析」日本株
前編：https://youtu.be/5Pm3B1vfha8
後編：https://youtu.be/eHtMPiMpfnE

▼PIVOTの採用情報▼
https://bit.ly/4bl4WbI

#健康新常識 #健康 #目 #寿命 #眼科 #視力 #近視 #遠視 #乱視 #老眼 #スマホ老眼 #視覚障害 #網膜剥離 #緑内障 #白内障 #糖尿病性網膜症 #網膜色素変性症 #加齢黄斑変性症 #サングラス #コンタクトレンズ #深作秀春 #レーシック #ブルーライト #多焦点レンズ #モノビジョン法 #肝臓 #代謝 #解毒 #免疫 #脂肪肝 #お酒 #依存症 #医学 #健康診断 #肝炎 #肝臓がん #がん #ダイエット #予防 #病気 #AST #ALT #BMI #三田友梨佳 #国山ハセン #尾形 哲 #佐々木紀彦 #PIVOT #pivot #ピボット","['健康新常識', '健康', '目', '寿命', '眼科', '視力', '近視', '遠視', '乱視', '老眼', 'スマホ老眼', '視覚障害', '網膜剥離', '緑内障', '白内障', '糖尿病性網膜症', '網膜色素変性症', '加齢黄斑変性症', 'サングラス', 'コンタクトレンズ', '深作秀春', 'レーシック', 'ブルーライト', '多焦点レンズ', 'モノビジョン法', '肝臓', '代謝', '解毒', '免疫', '脂肪肝', 'お酒', '依存症', '医学', '健康診断', '肝炎', '肝臓がん', 'がん', 'ダイエット', '予防', '病気', 'AST', 'ALT', 'BMI', '三田友梨佳', '国山ハセン', '尾形 哲', '佐々木紀彦', 'PIVOT', 'pivot', 'ピボット', 'リハック', 'リベ大', '中田敦彦', 'アベマ', 'アベプラ', 'テレ東BIZ', '人生100年', '100歳', 'マネー', 'ニューズピックス', 'NewsPicks', '日経新聞']",https://i.ytimg.com/vi/LuhENh6hucM/hqdefault.jpg,26,45307,1444,64,PT32M1S,false,PIVOT 公式チャンネル
ZkDuMGwnsFU,2025-07-06T03:26:26Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【決断力アップ】転職・結婚・子育て、なぜ「決められない」のか？／臨床心理士が教える意思決定の秘訣／人生のモヤモヤ解消／時間術／中島美鈴,"▼ 後編はこちら
https://pivotmedia.co.jp/app/movie/13080

▼ PIVOTアプリなら、バックグラウンド再生、ダウンロード機能、音声モード再生が無料。視聴ごとにマイルが貯まり、Amazonギフト券などの特典と交換できます。 アプリダウンロードはこちら↓（無料）
https://4x9f.adj.st/episode_id=13079?adj_t=1qs62cpu

＜ゲスト＞
中島美鈴｜臨床心理士
1978年福岡県生まれ、公認心理師。心理学博士(九州大学)。中島心理相談所所長。専門は時間管理とADHDの認知行動療法。時間管理の専門家として本の執筆、テレビ出演、コラム連載、セミナー講師など多方面で活躍。

＜参考書籍＞
『マンガで挑戦 とっちらかった頭の中を整理して決められる人になる』
https://amzn.to/3IcXUvt
※このリンクはAmazonアソシエイトリンクを使用しています

＜目次＞
00:00　ダイジェスト
00:49　「意思決定」をテーマにした理由
04:52　なぜ私たちは決められない？
08:34　即決で損することはあるか？
09:08　意思決定のプロセス「もじせか」
15:20　子供の進路を決める「もじせか」
19:38　行動経済学の限定合理性
22:57　情報収集する時の注意点
24:03　次回予告

#意思決定 #決断力 #心理学 #中島美鈴 #PIVOT #時間管理 #時間術 #ビジネススキル #ライフハック #臨床心理士 #ADHD #転職 #結婚 #教育","['意思決定', '決断力', '心理学', '中島美鈴', 'PIVOT', '時間管理', '時間術', 'ビジネススキル', 'ライフハック', '臨床心理士', 'ADHD', '転職', '結婚', '教育']",https://i.ytimg.com/vi/ZkDuMGwnsFU/hqdefault.jpg,26,11660,138,5,PT25M38S,false,PIVOT 公式チャンネル
i3YaaZhzFzc,2025-07-06T07:00:43Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【AIエージェント活用術 vol.6】デル・テクノロジーズ｜AIエージェント開発の実践編  PCで作る営業AIエージェント,"【Sponsored by デル･テクノロジーズ】 
“ビジネスパーソンに本当に役立つHow to”を深堀り、AIエージェントの活用法を徹底解説していく新番組「AIエージェントSKILL SET」。AIエージェントを使うだけでなく、自分で作ることを目標にシリーズで学んでいきます。

▼AIエージェント活用講座の資料はこちら
https://bit.ly/44sgSWi

▼出演者情報
若松信康｜デル･テクノロジーズ マーケティング統括本部 シニアアドバイザー
外資系通信機器メーカーのSEとしてキャリアをスタート。その後セキュリティベンダーのプロダクトマネージャー、日系企業の技術コンサルを経て、2008年より現職。現職のデル・テクノロジーズでは、中堅中小企業・教育・医療業界向けマーケティングに従事しつつ、生成AIハンズオン講座等を通して生成AI利活用促進のための啓蒙活動を行っている。

#dell #デルテクノロジーズ #aiエージェント #ai #ビジネス #pivot #dify #aiagent #営業","['dell', 'デルテクノロジーズ', 'AIエージェント', 'AI', 'ビジネス', 'PIVOT', 'デル', 'Dify', '営業']",https://i.ytimg.com/vi/i3YaaZhzFzc/hqdefault.jpg,26,7606,32,0,PT47S,false,PIVOT 公式チャンネル
cJEuYRTJiNw,2025-07-06T00:00:51Z,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,【大谷翔平、新魔球を習得】サイ・ヤング賞を超える超大胆仮説/完全復活の時期は/なぜ日本人投手は活躍できるのか/山本由伸のシンカーが増えた理由/今永の球はなぜ打てないのか/千賀のお化けフォークの異常性,"▼PIVOTアプリなら、バックグラウンド再生、ダウンロード機能、音声モード再生が無料。視聴ごとにマイルが貯まり、Amazonギフト券などの特典と交換できます。
アプリダウンロードはこちら↓（無料）
https://4x9f.adj.st/episode_id=13085?adj_t=1qbh6bny

＜目次＞
00:00　ダイジェスト
01:17　日本人メジャーリーガーの活躍
03:45　大谷翔平の投手復帰
22:38　完全復活の時期と大谷起用法
29:15　注目の日本人投手
29:53　今永の球はなぜ打てないのか
34:27　松井裕樹の球質
37:31　千賀のお化けフォークの異常性
47:04　山本由伸の進化

＜ゲスト＞
斎藤 隆｜野球解説者
91年ドラフト1位で横浜大洋ホエールズ入団。06年ドジャースでクローザーとして活躍。MLBでは5球団に在籍し、その後、楽天の日本一にも貢献。

岡田 友輔｜DELTA社長
野球の構造・戦略を探るセイバーメトリクスが専門。2011年 スポーツデータ分析を手掛けるDELTA を設立。2016年 集計・算出したデータを公開する               「1.02-DELTA Inc.」を開設。
https://1point02.jp/op/index.aspx

佐々木 浩哉｜データスタジアム・アナリスト
メディア向けのデータ分析およびコンテンツ制作などを担当。NHK「球辞苑」に出演。中日スポーツ「プロ野球データで裏付け」コラムを連載中


＜MC＞
西川典孝
 NHKアナウンサー時代は、プロ野球や高校野球の実況を担当。


#大谷 #大谷翔平 #野球 #baseball #MLB #プロ野球 #投手 #投手復帰 #速報 #ピッチャー #ドジャース #山本由伸 #千賀滉大 #今永昇太#松井裕樹 #鈴木誠也 #佐々木郎希 #ダルビッシュ #菅野智之  #菊池雄星 #お化けフォーク #二刀流 #サイ・ヤング賞 #MVP #オールスター #先発 #スポーツ #斎藤隆 #PIVOT #ピボット #pivot","['大谷', '大谷翔平', '野球', 'baseball', 'MLB', 'プロ野球', '投手', 'ピッチャー', 'ドジャース', '山本由伸', '千賀滉大', '今永昇太', '松井裕樹', '鈴木誠也', '佐々木郎希', 'ダルビッシュ', '菅野智之', '菊池雄星', 'お化けフォーク', '二刀流', 'サイ・ヤング賞', 'MVP', 'オールスター', '先発', 'スポーツ', '斎藤隆', 'PIVOT', 'ピボット', 'pivot', '投手復帰', '速報']",https://i.ytimg.com/vi/cJEuYRTJiNw/hqdefault.jpg,26,61529,637,49,PT54M21S,false,PIVOT 公式チャンネル
