videoId,parentId,commentId,isReply,authorDisplayName,text,likeCount,publishedAt,updatedAt,authorChannelId
U95Zm1VsKic,,Ugx4P6berqBDc0G39AZ4AaABAg,False,@zep1-455-drty,間違いなく自民党と書く,0,2025-07-18T15:46:22Z,2025-07-18T15:46:22Z,UClMb40a3MxwBYsn4DOFygVg
U95Zm1VsKic,,UgwIqJyKWQLxWDBqVXd4AaABAg,False,@Omaha.B雅,ネット投票の実現・政権交代が起きれば、いろいろ変わっていくのでは❓,0,2025-07-16T16:55:16Z,2025-07-16T16:55:16Z,UCplCK6IPO4pcLWSoeOZg8tg
U95Zm1VsKic,,UgzO9LKniIcDI75CUtx4AaABAg,False,@taroyamada7664,駄目だ、不正の温床になる。今でさえヤベェのに,0,2025-07-16T10:24:04Z,2025-07-16T10:24:04Z,UCNlulhzuqIEEpsahCpktDzQ
U95Zm1VsKic,,Ugy4gG4R-ea06mO0WOR4AaABAg,False,@daisukenakano-j4p,"前から思ってた。落としたい候補にマイナス票。
当選してほしい候補にプラス票。",0,2025-07-15T16:00:01Z,2025-07-15T16:00:01Z,UCi86i-DmnANHteGeMvfIaBw
,Ugy4gG4R-ea06mO0WOR4AaABAg,Ugy4gG4R-ea06mO0WOR4AaABAg.AKb6ABbHap4AKbdJFp_Ffn,True,@tokuda-nick,😁,0,2025-07-15T20:58:22Z,2025-07-15T20:58:22Z,UCQiAFZaA7gzYwP3m8Vea1Ug
U95Zm1VsKic,,Ugxp12k9NW3hE4_2eLF4AaABAg,False,@アン-v6k,"確かに！
それイイ！！！",6,2025-07-10T12:01:40Z,2025-07-10T12:01:40Z,UCOQf73MlS9m_WGxEEC9zoHw
U95Zm1VsKic,,UgzIs_M4p1DZpKRKRd14AaABAg,False,@有田-k8n,"該当なしも追加すべきだね
そうすりゃ投票率も爆増するだろうね",7,2025-07-10T09:01:24Z,2025-07-10T09:01:24Z,UCqDm_nDwi_3EZXWhK-AR7ng
U95Zm1VsKic,,Ugz9W2g2CwuTAJhs4eN4AaABAg,False,@osasimi9914,やっぱり投票率を上げるのが先。投票したら税の控除を受けられるとか、投票行動にメリットを持たせればいい。自公は絶対やらないだろうけど。,4,2025-07-10T04:14:04Z,2025-07-10T04:14:04Z,UCM8QEkrH3Z_Dc5OvC_DXKhQ
,Ugz9W2g2CwuTAJhs4eN4AaABAg,Ugz9W2g2CwuTAJhs4eN4AaABAg.AKNyPII6RHeAKNzClRoBNj,True,@tokuda-nick,😳,0,2025-07-10T04:21:06Z,2025-07-10T04:21:06Z,UCQiAFZaA7gzYwP3m8Vea1Ug
U95Zm1VsKic,,Ugyc7vux9H0j7sq0vgF4AaABAg,False,@園田高久-v4e,投票したら壱万円が良いと思うのだが,0,2025-07-09T12:49:55Z,2025-07-09T12:49:55Z,UCUIlN2-mX9JucF8JgPKNiSQ
